btc_return,current_token_price,eth_return,month,name,token/btc_return,token/eth_return,token_return,token_sale_price,usd_raised
15.33x,125.047,60.78x,Sep 2016,NEO,43.41x,10.95x,665.34x,0.188,3758871.0
0.82x,0.212,0.68x,Jan 2018,Ethersportz,0.52x,0.63x,0.42x,0.5,3500000.0
7.35x,16.459,13.32x,Apr 2017,Lunyr,1.39x,0.77x,10.21x,1.612,3400000.0
2.15x,5.375,2.32x,Aug 2017,MyBit,1.26x,1.17x,2.71x,1.984,3035999.88
5.27x,0.071,7.84x,May 2017,EncryptoTel,0.16x,0.11x,0.85x,0.084,3000000.0
3.53x,0.022,3.22x,Jul 2017,Skincoin,0.18x,0.20x,0.63x,0.034,3000000.0
1.17x,3.218,1.71x,Nov 2017,The Divi Project,4.86x,3.33x,5.70x,0.564,2902871.53
9.17x,97.157,54.42x,Feb 2017,Melonport,1.83x,0.31x,16.75x,5.8,2900000.0
1.29x,39.958,2.11x,Nov 2017,Genesis Vision,40.77x,24.93x,52.49x,0.761,2836724.0
15.27x,0.097,58.26x,Oct 2016,Lykke,0.11x,0.03x,1.73x,0.056,2800000.0
8.41x,0.82,16.27x,Mar 2017,Edgeless,2.49x,1.29x,20.93x,0.039,2700000.0
3.61x,0.19,2.17x,Jun 2017,Cryptoping,0.18x,0.30x,0.66x,0.29,2608052.16
3.80x,0.047,2.57x,Jun 2017,iDice,0.01x,0.01x,0.03x,1.667,2500000.0
4.88x,3.656,4.46x,Jul 2017,Bitquence,22.69x,24.83x,110.75x,0.033,2266875.76
2.25x,11.799,2.36x,Aug 2017,Neblio,29.59x,28.16x,66.46x,0.178,2102280.67
10.44x,0.623,68.49x,Jan 2017,Wings,2.16x,0.33x,22.52x,0.028,2074000.0
13.36x,3.357,70.41x,Nov 2016,Komodo,11.40x,2.16x,152.30x,0.022,1983781.0
3.47x,0.22,3.10x,Aug 2017,SunContract,3.94x,4.41x,13.66x,0.016,1980155.64
2.82x,0.089,2.37x,Aug 2017,Digital Developers Fund,0.10x,0.12x,0.29x,0.305,1963332.0
7.71x,4.08,40.46x,Mar 2017,Metal,4.49x,0.86x,34.61x,0.118,1945000.0
12.11x,0.132,89.66x,Dec 2016,vDice,0.20x,0.03x,2.44x,0.054,1800000.0
3.80x,0.285,2.38x,Jun 2017,BlockPool,0.86x,1.37x,3.25x,0.088,1751444.0
0.49x,0.067,0.98x,Dec 2017,Bounty0x,9.98x,5.04x,4.91x,0.014,1500000.0
2.59x,0.281,2.71x,Sep 2017,VibeHub,5.44x,5.20x,14.11x,0.02,1435724.08
13.99x,3.113,56.34x,Jun 2016,ICOO,0.08x,0.02x,1.06x,2.938,1388427.08
